Tiempo 1,Tiempo 2,t,Tiempo 3,Tiempo 4,t,latencia
"13,586821","13,587519","0,000698","29,226809","29,226889","0,000080","0,0006179"
"23,232303","23,233305","0,001002","39,358426","39,358464","0,000038","0,0009639"
"26,386525","26,387566","0,001041","42,512628","42,512647","0,000019","0,0010219"
"27,178829","27,179851","0,001022","43,304873","43,304892","0,000018","0,0010037"
"28,286781","28,286281","0,000500","44,412807","44,413662","0,000856","-0,0003557"
"28,536080","28,538142","0,002062","44,662243","44,663510","0,001267","0,0007955"
"28,665245","28,666461","0,001216","44,888928","44,891703","0,002775","-0,0015592"
"29,212584","29,215643","0,003059","45,338865","45,340760","0,001895","0,0011641"
"29,464362","29,465933","0,001571","45,590496","45,591319","0,000824","0,0007474"
"29,889243","29,892606","0,003363","46,015549","46,017903","0,002354","0,0010094"
"30,329652","30,331122","0,001470","46,455736","46,456521","0,000785","0,0006855"
"30,731147","30,732904","0,001757","46,857512","46,858300","0,000789","0,0009684"
"31,163062","31,164706","0,001644","47,289165","47,290111","0,000945","0,0006987"
"2,496701","2,497596","0,000895","15,900853","15,900933","0,000080","0,0008149"
"3,378972","3,379773","0,000801","16,783107","16,783175","0,000068","0,0007325"
"5,360439","5,361470","0,001031","18,764663","18,764732","0,000069","0,0009620"
"12,417716","12,418701","0,000985","25,822019","25,824816","0,002797","-0,0018120"
"13,119541","13,121016","0,001475","26,523969","26,524025","0,000056","0,0014189"
"13,619865","13,620746","0,000881","27,024301","27,024343","0,000042","0,0008395"
"13,963151","13,964028","0,000877","27,36762239","27,36767254","0,000050","0,0008268"
